team_0_clan_tag,team_0_crowns,replayTag,opponent_0_crowns,opponent_0_tag
#QYGL80RR,1,#00GPQ2VCUR0L,0,#P8LRG9UP
#QYGL80RR,1,#02RPLL0L08YR,0,#V9QVYG98Y
#QYGL80RR,1,#02RPLL0PRPYL,0,#CVQ0QPVJ8
#QYGL80RR,1,#002PR29VQVQQ,0,#PG88V9GV
#QYGL80RR,0,#02RPLL0P222G,1,#J02VCV2C0
#QYGL80RR,2,#02YPQQUG9QG9,0,#9PYLJ0CR
#QYGL80RR,1,#08PPY09RULUP,0,#2LV9VRY8G
#QYGL80RR,2,#08U9G2P9GG0G,2,#9VCVLV8Y8
#QYGL80RR,2,#08U9G2P8Y9CJ,2,#2020U00JR8
#QYGL80RR,1,#02RPLL029V8R,0,#Q9GV0Y8Y
#QYGL80RR,0,#00CPQ8CRC80R,1,#R90VLULJQ
#QYGL80RR,1,#02RPLL00JPLV,0,#CCP9G8JYL
#QYGL80RR,1,#02CPY8GQGLJV,0,#20Q89GJ02
#QYGL80RR,1,#08PPY09LYUUU,2,#GYGY80YYL
#QYGL80RR,0,#0909G2LCUUUJ,3,#VGG92R008
#QYGL80RR,2,#02RPLYQGVGJ8,0,#20PURRGR2
#QYGL80RR,1,#00UPQ89CRQQV,0,#P0LQQ0L0
#QYGL80RR,0,#02RPLYQGYYPG,1,#R09228V
#QYGL80RR,1,#02RPLYQQV22R,0,#G9Q2L0J09
#QYGL80RR,1,#02RPLYQQPCY2,0,#U8RYGC8GU
#QYGL80RR,1,#00QPQ99PGRVP,0,#9P80RLQYY
#QYGL80RR,1,#02RPLYQLP008,0,#VGRULGVLQ
#QYGL80RR,1,#00YPQ2C02C20,0,#2QV8JVPGV
#QYGL80RR,0,#02RPLYQYG2UC,1,#8RYL09VJ
#QYGL80RR,1,#009PR0JPPPU8,0,#8LRJ0GG8Q
#QYGL80RR,0,,0,#PYGVQGLLU
#QYGL80RR,0,,1,#UJGGQCL88
#QYGL80RR,0,,1,#U2Q2LQY
#QYGL80RR,1,,0,#V0G2JGUUR
#QYGL80RR,0,,3,#CVQ0QPVJ8
